charger_id,operator,station_address,postcode,source,decision,match_method,distance_m,candidate_operator,candidate_address,candidate_postcode,reject_reason
2,BP,"01 Wallgrove Road, Sydney, 2766",2766,open_charge_map,accepted,operator_and_distance,64.9,BP,"BP Truckstop, Wallgrove Road & Old Wallgrove Road",2766,
3,NRMA,"1 - 7 Ross St, Wilcannia NSW 2836, Australia",2350,open_charge_map,accepted,operator_and_distance,29.3,NRMA,82 Marsh Street,2350,
24,Evie,"1 Ingham Dr, Casula NSW 2170",2170,open_charge_map,accepted,operator_and_distance,125.6,Evie,1 Ingham Dr,2170,
36,JOLT,"1 Park St, Sydney, 2103",2103,open_charge_map,accepted,operator_and_distance,5.7,JOLT,1 Park St,2103,
60,Tesla,"10 Winery Dr, Port Macquarie, 2444",2444,open_charge_map,accepted,operator_and_distance,0.1,Tesla,764 Pacific Highway,2444,
69,Chargefox,"1067 Oxley Hwy, Thrumster, 2444",2444,open_charge_map,accepted,operator_and_distance,29.9,Chargefox,1063 Oxley Highway,2444,
80,NRMA,"11 Ewingsdale Rd, Ewingsdale, 2481",2481,open_charge_map,accepted,operator_and_distance,48.4,NRMA,Ewingsdale Road,,
87,JOLT,"110 Anzac Pde, Sydney, 2033",2033,open_charge_map,accepted,operator_and_distance,17.9,JOLT,110 Anzac Pde,2033,
88,JOLT,"1106 Barrenjoey Rd, Sydney, 2108",2108,open_charge_map,accepted,operator_and_distance,23.6,JOLT,"Barrenjoey Road, Palm Beach",2108,
95,NRMA,"116 Liverpool St, Scone, NSW 2337, Australia",2880,open_charge_map,accepted,operator_and_distance,47.0,NRMA,51 Bromide St,2880,
99,Chargefox,"1183-1187 The Horsley Dr, Sydney, 2164",2164,open_charge_map,accepted,operator_and_distance,79.8,Chargefox,1183-1187 The Horsley Drive,2164,
100,Engie,"1183-1187 The Horsley Dr, Wetherill Park NSW 2164",2164,open_charge_map,accepted,distance_only,44.7,Chargefox,1183-1187 The Horsley Drive,2164,
103,Evie,"119 Stenhouse Drive, Cameron Park, 2285",2285,open_charge_map,accepted,operator_and_distance,12.6,Evie,119 Stenhouse Drive,2285,
107,Ampol,"12 Hume Hwy, Pheasants Nest, 2574",2574,open_charge_map,accepted,operator_and_distance,236.6,Ampol,Lot 12 Hume Hwy,2574,
108,Ampol,"12 Hume Hwy, Pheasants Nest, 2574",2574,open_charge_map,accepted,operator_and_distance,87.9,Ampol,Lots 1 & 2 Hume Hwy,2574,
124,Chargefox,"126 Mackay Ave, Yoogali, 2680",2680,open_charge_map,accepted,operator_and_distance,55.4,Chargefox,"Kurrajong Avenue, Yoogali",2680,
127,Evie,"128 Flood Street, Leichhardt NSW 2040",2040,open_charge_map,accepted,operator_and_distance,225.5,Evie,128 Flood Street,2040,
134,Evie,"13125 Hume Hwy, Sutton Forest, 2577",2577,open_charge_map,accepted,operator_and_distance,7.3,Evie,Hume Hwy,,
137,NRMA,"132 Pound Street, Grafton, 2460",2460,open_charge_map,accepted,operator_and_distance,66.6,NRMA,Pound Street,,
141,NRMA,"134 Lachlan St, Hay, 2711",2711,open_charge_map,accepted,operator_and_distance,27.4,NRMA,134 Lachlan St,2711,
142,NRMA,"134 Lachlan St, Hay, 2711",2711,open_charge_map,accepted,operator_and_distance,173.8,NRMA,134 Lachlan St,2711,
144,BP,"134-136 Grafton St, Coffs Harbour, 2450",2450,open_charge_map,accepted,operator_and_distance,15.7,BP,136 Pacific Highway,2450,
155,NRMA,"140 Queen St, Berry, 2535",2535,open_charge_map,accepted,operator_and_distance,27.2,NRMA,,,
171,Tesla,"15 Chancellors Dr, Thrumster , 2444",2444,open_charge_map,accepted,operator_and_distance,53.9,Tesla,"John Oxley Drive, Thrumster",2444,
180,NRMA,"15 Victory St, Braidwood, NSW 2622, Australia",2835,open_charge_map,accepted,operator_and_distance,1.6,NRMA,3 Broomfield Street,2835,
187,Ampol,"153 Coreen Ave Cnr Castlereagh Rd, Penrith, NSW, 2750",2750,open_charge_map,accepted,operator_and_distance,25.1,Ampol,153 Coreen Ave,2750,
192,BP,"15620 Hume Hwy, Marulan, 2579",2579,open_charge_map,accepted,operator_and_distance,27.8,BP,15597 Hume Hwy,,
193,BP,"15666 Hume Hwy, Marulan, 2579",2579,open_charge_map,accepted,operator_and_distance,40.2,BP,Hume Highway,2579,
194,NRMA,"157 Rouse Street, Tenterfield, NSW 2372, Australia",2825,open_charge_map,accepted,operator_and_distance,3.5,NRMA,18 Cobar Street,2825,
