stage,column,non_null,total,pct_complete
raw,objectid,121,1958,6.2
raw,station_name,520,1958,26.6
raw,station_address,1958,1958,100.0
raw,operator,1958,1958,100.0
raw,number_of_plugs,1958,1958,100.0
raw,charger_type,1958,1958,100.0
raw,charger_rating,1958,1958,100.0
raw,latitude,1958,1958,100.0
raw,longitude,1958,1958,100.0
raw,lganame,1837,1958,93.8
raw,pcode,1837,1958,93.8
raw,source,1837,1958,93.8
cleaned,charger_id,1947,1947,100.0
cleaned,source_objectid,121,1947,6.2
cleaned,station_name,517,1947,26.6
cleaned,station_address,1947,1947,100.0
cleaned,latitude,1947,1947,100.0
cleaned,longitude,1947,1947,100.0
cleaned,lga_name,1837,1947,94.4
cleaned,postcode,1837,1947,94.4
cleaned,source,1837,1947,94.4
cleaned,operator,1947,1947,100.0
cleaned,number_of_plugs,1947,1947,100.0
cleaned,charger_type,1849,1947,95.0
cleaned,status,1947,1947,100.0
cleaned,charger_rating_raw,1947,1947,100.0
cleaned,charger_rating_kw,1428,1947,73.3
cleaned,sa4_code,1947,1947,100.0
cleaned,sa4_name,1947,1947,100.0
cleaned,sa4_assignment,1947,1947,100.0
cleaned,sa4_distance_m,1947,1947,100.0
